"Name","Description","Score"
"FIPS_I_LocalPathNetwork_1","No Path",0
"FIPS_I_LocalPathNetwork_2","Path",4
"FIPS_I_NationalCycleNetwork_1","On Road: Paved Surface",0
"FIPS_I_NationalCycleNetwork_2","Traffic Free: Unpaved Surface",4
"FIPS_I_NationalCycleNetwork_3","Traffic Free: Paved Surface",0
"FIPS_I_NationalCycleNetwork_4","On Road: Unpaved Surface",0
"FIPS_I_NFERA_1","Other",0
"FIPS_I_NFERA_2","Wildlife hide",0
"FIPS_I_NFERA_3","Catering",5
"FIPS_I_NFERA_4","BBQ Area",0
"FIPS_I_NFERA_5","Shelter",0
"FIPS_I_NFERA_6","Play area",0
"FIPS_I_NFERA_7","Heritage Building",0
"FIPS_I_NFERA_8","Ponds/Lakes",0
"FIPS_I_NFERA_9","Education",0
"FIPS_I_NFERA_10","Visitor Centre",6
"FIPS_I_NFERA_11","Car Parking",0
"FIPS_I_NFERA_12","Picnic",0
"FIPS_I_NFERA_13","Toilet",0
"FIPS_I_NFERA_14","Accommodation",0
"FIPS_I_NFERA_15","Car parking - Layby",0
"FIPS_I_NFERA_16","Events",0
"FIPS_I_NFERA_17","Acitivty / Sports",0
"FIPS_I_NFERR_10","Access road",2
"FIPS_I_NFERR_7","Cross Country Ski",0
"FIPS_I_NFERR_2","Cycling: Cross country",0
"FIPS_I_NFERR_1","Cycling: Downhill",0
"FIPS_I_NFERR_3","Cycling: Forest Road or similar",0
"FIPS_I_NFERR_8","Equestrian",0
"FIPS_I_NFERR_9","Forest Drive",3
"FIPS_I_NFERR_4","Walking: Difficult",6
"FIPS_I_NFERR_5","Walking: Easy",0
"FIPS_I_NFERR_6","Walking: Moderate",5
"FIPS_I_RoadsTracks_4","Minor / local road",9
"FIPS_I_RoadsTracks_2","A Road",0
"FIPS_I_RoadsTracks_1","Motorway",0
"FIPS_I_RoadsTracks_5","Access roads / Track",5
"FIPS_I_RoadsTracks_3","B Road",8
"FIPS_N_Landform_1","Foothills",3
"FIPS_N_Landform_2","Lochs",1
"FIPS_N_Landform_3","Mountains",10
"FIPS_N_Landform_4","Terraces",0
"FIPS_N_Landform_5","Flood plain",9
"FIPS_N_Landform_6","Beaches / Dunes",0
"FIPS_N_Landform_7","Rocks / Scree",0
"FIPS_N_Landform_8","Depressions",0
"FIPS_N_Landform_9","Hills",0
"FIPS_N_Landform_10","Lowlands",0
"FIPS_N_Landform_11","Rock Walls",0
"FIPS_N_Landform_12","Uplands",0
"FIPS_N_Landform_13","Valley sides",0
"FIPS_N_Landform_14","Valley bottom",3
"FIPS_N_Landform_15","Built-up areas",0
"FIPS_N_Landform_16","Saltings",0
"FIPS_N_Landform_17","Hummocks / mounds / moraines",4
"FIPS_N_NFI_1","Woodland_Assumed Woodland",0
"FIPS_N_NFI_2","Woodland_Grass",3
"FIPS_N_NFI_3","Woodland_Ground Prepared for Planting",0
"FIPS_N_NFI_4","Woodland_Felled",4
"FIPS_N_NFI_5","Woodland_Shrub Land",0
"FIPS_N_NFI_6","Woodland_Young Trees",0
