Name,Description,Score
FIPS_I_LocalPathNetwork_1,No Path,0
FIPS_I_LocalPathNetwork_2,Path,1
FIPS_I_NFERR_10,Access road,0
FIPS_I_NFERR_7,Cross Country Ski,5
FIPS_I_NFERR_2,Cycling: Cross country,6
FIPS_I_NFERR_1,Cycling: Downhill,8
FIPS_I_NFERR_3,Cycling: Forest Road or similar,4
FIPS_I_NFERR_8,Equestrian,1
FIPS_I_NFERR_9,Forest Drive,1
FIPS_I_NFERR_4,Walking: Difficult,8
FIPS_I_NFERR_5,Walking: Easy,2
FIPS_I_NFERR_6,Walking: Moderate,2
FIPS_I_RoadsTracks_4,Minor / local road,6
FIPS_I_RoadsTracks_2,A Road,1
FIPS_I_RoadsTracks_1,Motorway,0
FIPS_I_RoadsTracks_5,Access roads / Track,8
FIPS_I_RoadsTracks_3,B Road,5
FIPS_I_NFERA_1,Other: Other,1
FIPS_I_NFERA_2,Building: Wildlife hide,2
FIPS_I_NFERA_3,Building: Catering,7
FIPS_I_NFERA_4,Visitor Areas: BBQ Area,6
FIPS_I_NFERA_5,Building: Shelter,6
FIPS_I_NFERA_6,Play: Play area,6
FIPS_I_NFERA_7,Building: Heritage Building,3
FIPS_I_NFERA_8,Ponds/Lakes: Ponds/Lakes,3
FIPS_I_NFERA_9,Visitor Areas: Education,2
FIPS_I_NFERA_10,Building: Visitor Centre,3
FIPS_I_NFERA_11,Vehicle: Car Parking,8
FIPS_I_NFERA_12,Visitor Areas: Picnic,3
FIPS_I_NFERA_13,Building: Toilet,5
FIPS_I_NFERA_14,Accommodation: Accommodation,5
FIPS_I_NFERA_15,Vehicle: Car parking - Layby,8
FIPS_I_NFERA_16,Visitor Areas: Events,1
FIPS_I_NFERA_17,Sports: Acitivty / Sports,6
FIPS_I_NationalCycleNetwork_1,On Road: Paved Surface,2
FIPS_I_NationalCycleNetwork_2,Traffic Free: Unpaved Surface,8
FIPS_I_NationalCycleNetwork_3,Traffic Free: Paved Surface,6
FIPS_I_NationalCycleNetwork_4,On Road: Unpaved Surface,7
FIPS_N_Landform_1,Foothills,7
FIPS_N_Landform_2,Lochs,5
FIPS_N_Landform_3,Mountains,10
FIPS_N_Landform_4,Terraces,5
FIPS_N_Landform_5,Flood plain,1
FIPS_N_Landform_6,Beaches / Dunes,7
FIPS_N_Landform_7,Rocks / Scree,6
FIPS_N_Landform_8,Depressions,1
FIPS_N_Landform_9,Hills,6
