"Component","Dataset","Name","Description","Raster_Val","HR_ReducedMod"
"FIPS_I","FIPS_I_LocalPathNetwork","FIPS_I_LocalPathNetwork_2","Path",1,5
"FIPS_I","FIPS_I_RoadsTracks","FIPS_I_RoadsTracks_4","Minor / local road",4,0
"FIPS_I","FIPS_I_RoadsTracks","FIPS_I_RoadsTracks_2","A Road",2,0
"FIPS_I","FIPS_I_RoadsTracks","FIPS_I_RoadsTracks_1","Motorway",1,0
"FIPS_I","FIPS_I_RoadsTracks","FIPS_I_RoadsTracks_5","Access roads / Track",5,0
"FIPS_I","FIPS_I_RoadsTracks","FIPS_I_RoadsTracks_3","B Road",3,0
"FIPS_I","FIPS_I_NationalCycleNetwork","FIPS_I_NationalCycleNetwork_1","On Road: Paved Surface",1,2
"FIPS_I","FIPS_I_NationalCycleNetwork","FIPS_I_NationalCycleNetwork_2","Traffic Free: Unpaved Surface",2,8
"FIPS_I","FIPS_I_NationalCycleNetwork","FIPS_I_NationalCycleNetwork_3","Traffic Free: Paved Surface",3,6
"FIPS_I","FIPS_I_NationalCycleNetwork","FIPS_I_NationalCycleNetwork_4","On Road: Unpaved Surface",4,7
"FIPS_N","FIPS_N_Landform","FIPS_N_Landform_1","Foothills",1,7
"FIPS_N","FIPS_N_Landform","FIPS_N_Landform_2","Mountains",3,10
"FIPS_N","FIPS_N_Landform","FIPS_N_Landform_3","Terraces",4,5
"FIPS_N","FIPS_N_Landform","FIPS_N_Landform_4","Flood plain",5,1
"FIPS_N","FIPS_N_Landform","FIPS_N_Landform_5","Beaches / Dunes",6,7
"FIPS_N","FIPS_N_Landform","FIPS_N_Landform_6","Rocks / Scree",7,6
"FIPS_N","FIPS_N_Landform","FIPS_N_Landform_7","Depressions",8,1
"FIPS_N","FIPS_N_Landform","FIPS_N_Landform_8","Hills",9,6
"FIPS_N","FIPS_N_Landform","FIPS_N_Landform_9","Lowlands",10,3
"FIPS_N","FIPS_N_Landform","FIPS_N_Landform_10","Rock Walls",11,10
"FIPS_N","FIPS_N_Landform","FIPS_N_Landform_11","Uplands",12,7
