"Component","Dataset","Name","Description","Raster_Val","testy_CA"
"FIPS_I","FIPS_I_LocalPathNetwork","FIPS_I_LocalPathNetwork_2","Path",1,10
"FIPS_I","FIPS_I_RoadsTracks","FIPS_I_RoadsTracks_4","Minor / local road",4,0
"FIPS_I","FIPS_I_RoadsTracks","FIPS_I_RoadsTracks_2","A Road",2,1
"FIPS_I","FIPS_I_RoadsTracks","FIPS_I_RoadsTracks_1","Motorway",1,2
"FIPS_I","FIPS_I_RoadsTracks","FIPS_I_RoadsTracks_5","Access roads / Track",5,5
"FIPS_I","FIPS_I_RoadsTracks","FIPS_I_RoadsTracks_3","B Road",3,3
"FIPS_I","FIPS_I_NationalCycleNetwork","FIPS_I_NationalCycleNetwork_1","On Road: Paved Surface",1,0
"FIPS_I","FIPS_I_NationalCycleNetwork","FIPS_I_NationalCycleNetwork_2","Traffic Free: Unpaved Surface",2,9
"FIPS_I","FIPS_I_NationalCycleNetwork","FIPS_I_NationalCycleNetwork_3","Traffic Free: Paved Surface",3,0
"FIPS_I","FIPS_I_NationalCycleNetwork","FIPS_I_NationalCycleNetwork_4","On Road: Unpaved Surface",4,0
"FIPS_N","FIPS_N_Landform","FIPS_N_Landform_1","Foothills",1,0
"FIPS_N","FIPS_N_Landform","FIPS_N_Landform_2","Mountains",3,0
"FIPS_N","FIPS_N_Landform","FIPS_N_Landform_3","Terraces",4,0
"FIPS_N","FIPS_N_Landform","FIPS_N_Landform_4","Flood plain",5,0
"FIPS_N","FIPS_N_Landform","FIPS_N_Landform_5","Beaches / Dunes",6,0
"FIPS_N","FIPS_N_Landform","FIPS_N_Landform_6","Rocks / Scree",7,0
"FIPS_N","FIPS_N_Landform","FIPS_N_Landform_7","Depressions",8,0
"FIPS_N","FIPS_N_Landform","FIPS_N_Landform_8","Hills",9,0
"FIPS_N","FIPS_N_Landform","FIPS_N_Landform_9","Lowlands",10,0
"FIPS_N","FIPS_N_Landform","FIPS_N_Landform_10","Rock Walls",11,0
"FIPS_N","FIPS_N_Landform","FIPS_N_Landform_11","Uplands",12,0
"FIPS_N","FIPS_N_Landform","FIPS_N_Landform_12","Valley sides",13,0
"FIPS_N","FIPS_N_Landform","FIPS_N_Landform_13","Valley bottom",14,0
"FIPS_N","FIPS_N_Landform","FIPS_N_Landform_14","Built-up areas",15,0
